donor_id,influencer_id,relationship_type,relationship_weight,interest_category,created_at
1200df2c-d983-4f3c-869c-b1968f83bf72,5ab17456-cc3d-456c-85a4-012e9d2ed334,Fellow Board Member,8,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
e1665060-8238-415b-8637-6f0a8ee0fdf4,5ab17456-cc3d-456c-85a4-012e9d2ed334,Advisor/Advisee,7,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19
19e8ff80-c4dc-4bbc-a310-a044cc15730c,5ab17456-cc3d-456c-85a4-012e9d2ed334,Business Partner,9,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
70415692-1554-4dfe-9446-aa68827a8b6e,5ab17456-cc3d-456c-85a4-012e9d2ed334,Co-founder,9,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19
e716d28f-b1d9-4e54-9107-6618a13ab5ca,f4686e78-cc16-4208-b09d-a41524ece694,Fellow Alumni,3,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19
e068b776-b700-4080-986d-1f25efed62c8,f4686e78-cc16-4208-b09d-a41524ece694,Fellow Speaker,3,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19
24897e18-6ec4-475d-8193-38d46577b2a5,f4686e78-cc16-4208-b09d-a41524ece694,Co-worker/Colleague,6,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
72640ec6-a58a-4646-b46c-e2e72a162e7a,b06e9c18-2542-496f-a9ff-3cd3131a766f,Family - first level,9,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
05772823-69a7-45c9-bd3a-beca07d3a481,b06e9c18-2542-496f-a9ff-3cd3131a766f,Fellow Committee Member,5,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
8b82192d-a8ac-47b0-8255-94461330dc44,b06e9c18-2542-496f-a9ff-3cd3131a766f,Advisor/Advisee,7,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
211c5f89-4b95-4b07-8f1b-1abfffbe992d,b06e9c18-2542-496f-a9ff-3cd3131a766f,Collaborated with,8,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
a91c7a41-981c-4ee3-ac0f-45a5e6740ed1,b06e9c18-2542-496f-a9ff-3cd3131a766f,Family - first level,9,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19
656db031-4b53-4d6c-ab60-a008ad0e1b33,78e7527f-d85a-4433-87e1-59448d3f1c44,Fellow Board Member,8,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
661affd1-8a31-40e0-af92-24e9ea75dbd3,78e7527f-d85a-4433-87e1-59448d3f1c44,Co-founder,9,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19
68ece8ca-4d44-462c-ad1e-489b9b983d08,78e7527f-d85a-4433-87e1-59448d3f1c44,Advisor/Advisee,7,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19
a92ecca8-4b68-486a-8c7a-00003753544f,29f0b517-7c10-4698-87ad-1881dc20ea1a,Fellow Board Member,8,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
7c1ebb0e-d020-4d85-af43-df1016ef525a,733893d4-6668-4b7b-8b53-915f3d577ead,Fellow Speaker,3,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19
6b20b125-d886-4680-876b-34ade4a2786b,e197d2ce-b409-4f7d-a30b-ac64189c5e5e,Co-founder,9,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19
51536b25-5a6d-4c09-8cba-3f6b43c4c9aa,e068b776-b700-4080-986d-1f25efed62c8,Collaborated with,8,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19
5a6af3e9-c8bf-4b65-b599-3b3f4e2791e8,e068b776-b700-4080-986d-1f25efed62c8,Reported to,9,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
ded02442-a6b2-4184-9e7d-e1629abca6e1,805c1ee8-d582-4aff-af64-35e837af444d,Fellow Alumni,3,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
0b309f63-fa38-40af-a7df-3c4200a4aaa7,805c1ee8-d582-4aff-af64-35e837af444d,Co-founder,9,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19
85b7760a-80b1-413d-a55b-54425c9a47e1,805c1ee8-d582-4aff-af64-35e837af444d,Co-author,7,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
d7b397d3-c204-401d-bd28-fd4aa9d0a445,805c1ee8-d582-4aff-af64-35e837af444d,Co-worker/Colleague,6,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
de451338-83d6-4ac6-ba42-c64c69efe4c9,2b4d1634-1bb7-4d56-981b-16b714732f0c,Fellow Alumni,3,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19
4d887c2a-ad0c-4840-8cb4-51e7fb1c0dbc,2b4d1634-1bb7-4d56-981b-16b714732f0c,Fellow Board Member,8,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19
69828d9a-23e8-42d7-9a07-91a38504aa02,2b4d1634-1bb7-4d56-981b-16b714732f0c,Advisor/Advisee,7,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
337f8e89-9e2f-4e33-913e-c7dfd29a83af,e57c544a-160a-4db0-9ef7-8c409f45d525,Advisor/Advisee,7,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19
38c71011-204f-4da3-999e-956ea8791977,e57c544a-160a-4db0-9ef7-8c409f45d525,Business Partner,9,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19
6c1b7af1-d7c8-480e-9e0d-7a7c4e37c62e,f4857e78-ad41-427f-ac62-e03e90988960,Fellow Alumni,3,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
d0a73205-fd69-4997-8000-3e901219b4f2,f4857e78-ad41-427f-ac62-e03e90988960,Co-author,7,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19
05620726-05e5-446e-b6f7-2ab3ba04c8af,f4857e78-ad41-427f-ac62-e03e90988960,Co-worker/Colleague,6,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
9c902b10-3893-42ae-89b4-da4bc5d96a6e,20cca08e-6c35-4eb8-a7e5-913a7219df31,Business Partner,9,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19
30f6c0e7-913b-4e0f-9330-408e30e46a0f,20cca08e-6c35-4eb8-a7e5-913a7219df31,Family - first level,9,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19
82da3585-1817-4a13-a54d-fe4f471f2a49,20cca08e-6c35-4eb8-a7e5-913a7219df31,Fellow Speaker,3,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
a579a105-a7af-4d8f-8df0-e41e2e49a8b1,20cca08e-6c35-4eb8-a7e5-913a7219df31,Co-author,7,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19
3af8f95e-ad1c-48a3-ae06-29c7e56ed572,fea77886-b50b-438e-b24a-8be62172d203,Family - extended,5,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19
d89e5cae-9e68-4e8b-b7f9-a41f5c4b9531,fea77886-b50b-438e-b24a-8be62172d203,Mentor/Mentee,8,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19
17fcb4d5-de08-45fa-89ce-306ea8a52b47,fea77886-b50b-438e-b24a-8be62172d203,Co-founder,9,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19
ba7dc998-391b-42ef-87e8-e7baa4aaa22a,fea77886-b50b-438e-b24a-8be62172d203,Advisor/Advisee,7,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19
2e9aba02-cb84-46f1-96fe-13d75bbc9f25,fea77886-b50b-438e-b24a-8be62172d203,Advisor/Advisee,7,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
f167f4bb-71bc-49bf-9a92-5c6becf67f52,5842e994-9a95-4b66-94e1-02fac0214bfa,Co-founder,9,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
d9141ff3-1ba0-400e-b91a-0db20e82620e,5842e994-9a95-4b66-94e1-02fac0214bfa,Co-founder,9,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19
99c43c15-49d9-43d9-ac73-06b949567b10,5842e994-9a95-4b66-94e1-02fac0214bfa,Student/teacher,8,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
4445dd3e-ced6-4cd1-847c-0e0e75ac3258,6e0a2da3-f49c-4be0-ab34-5320a3cc74b1,Friends with,6,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
5c189619-0b00-4ad8-babf-febae683b101,0fbca3ed-44d3-44eb-92ea-afee99477576,Co-author,7,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19
d298b3f8-7634-4682-a538-6c70013e1248,8e477cf9-508b-4b37-ad9f-dbd5a590edb8,Friends with,6,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
e58267b4-95c5-4914-9b71-fb3749f8ad75,8e477cf9-508b-4b37-ad9f-dbd5a590edb8,Friends with,6,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
d64fdfe8-4c8a-47eb-9c94-c78593abe450,55127d3c-0e51-4a93-aabc-6efe62d285d8,Co-author,7,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19
6c1b7af1-d7c8-480e-9e0d-7a7c4e37c62e,55127d3c-0e51-4a93-aabc-6efe62d285d8,Co-worker/Colleague,6,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
17efca01-b251-4116-af78-e8b0f105c5d6,55127d3c-0e51-4a93-aabc-6efe62d285d8,Reported to,9,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
3d499e2f-dbdb-4a38-baf2-5d911d0adb2a,57b62f77-e1e4-47d5-b41e-bf776ff8b59c,Student/teacher,8,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
f709a7dc-bcba-4745-9d4f-e22245837843,57b62f77-e1e4-47d5-b41e-bf776ff8b59c,Co-founder,9,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19
1ddf3108-4cbb-47d6-bd6c-eba7931a856d,57b62f77-e1e4-47d5-b41e-bf776ff8b59c,Fellow Committee Member,5,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
19b5c6a3-a4b3-4719-9e86-ce8247452e4e,57b62f77-e1e4-47d5-b41e-bf776ff8b59c,Co-founder,9,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
7628f5d1-ef0b-4b75-a7bd-dec5ae88850d,91ea5d72-1d40-45c6-a4cb-892ed1484ebe,Mentor/Mentee,8,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19
72f246cf-48f3-4013-aeb2-e3636ccebf6a,91ea5d72-1d40-45c6-a4cb-892ed1484ebe,Mentor/Mentee,8,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19
82c32a70-0be2-4d07-93a8-c61199a8d0c8,91ea5d72-1d40-45c6-a4cb-892ed1484ebe,Friends with,6,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
769f1f98-185a-4d47-b69e-4b033e4d2b3b,91ea5d72-1d40-45c6-a4cb-892ed1484ebe,Advisor/Advisee,7,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
e197d2ce-b409-4f7d-a30b-ac64189c5e5e,91ea5d72-1d40-45c6-a4cb-892ed1484ebe,Family - extended,5,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19
c2621d77-c50a-489e-8458-e08bd895e046,8e5db93d-c20d-4a44-b7fb-f88f99349202,Business Partner,9,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
fb898339-208e-486c-aa32-5974b47b3f6e,8e5db93d-c20d-4a44-b7fb-f88f99349202,Co-worker/Colleague,6,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
d5b4b31e-1a99-4af4-abd5-7303d9917246,8e5db93d-c20d-4a44-b7fb-f88f99349202,Fellow Committee Member,5,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19
fd103237-eee6-47e2-af79-0220cfbf6c4b,8e5db93d-c20d-4a44-b7fb-f88f99349202,Reported to,9,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19
6402defd-144b-45fb-a5cc-8ff168b4db9a,8e5db93d-c20d-4a44-b7fb-f88f99349202,Business Partner,9,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19
f0ecbee4-58b9-416c-bad3-7d699e4f9b65,7f91ada6-c58d-47bf-9f45-940282f6a292,Advisor/Advisee,7,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19
e8da460a-e6b9-48c2-b231-c1e0463c76fe,7f91ada6-c58d-47bf-9f45-940282f6a292,Fellow Committee Member,5,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19
38c71011-204f-4da3-999e-956ea8791977,7f91ada6-c58d-47bf-9f45-940282f6a292,Collaborated with,8,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19
1207e494-171a-43c8-ab47-25e2a7c147b8,7f91ada6-c58d-47bf-9f45-940282f6a292,Family - first level,9,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19
a71a159d-6876-4bce-a8f8-33bc7d3cbff6,72d98ef2-1157-4ac4-b160-3c251f8af2a9,Family - extended,5,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
38084d37-2d0d-4acd-9da9-d371f32c6b1b,72d98ef2-1157-4ac4-b160-3c251f8af2a9,Fellow Board Member,8,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19
8de4d78c-0be0-4f3d-992b-cb843c0791a3,72d98ef2-1157-4ac4-b160-3c251f8af2a9,Fellow Alumni,3,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
346f3c8d-4239-412f-9af9-841e0e8d0163,72d98ef2-1157-4ac4-b160-3c251f8af2a9,Friends with,6,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19
f71e5cb6-333a-40d6-8fac-696000d93a44,72d98ef2-1157-4ac4-b160-3c251f8af2a9,Advisor/Advisee,7,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
abbbe018-e0c7-4ec0-8596-7e9a0ae0b293,a520edfa-365f-4585-b36f-833d96fdc345,Collaborated with,8,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19
ee9b6c05-9376-4f00-8ab2-ac02b89a65fe,6402defd-144b-45fb-a5cc-8ff168b4db9a,Fellow Alumni,3,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19
99d27ff8-de63-4e35-9bc9-6b84074e871f,6402defd-144b-45fb-a5cc-8ff168b4db9a,Friends with,6,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19
cc69a3b5-489a-49de-9a36-1d9d8eeb3a71,6402defd-144b-45fb-a5cc-8ff168b4db9a,Co-worker/Colleague,6,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19
2f9b8cac-07a4-418a-97be-02e2693884e3,6402defd-144b-45fb-a5cc-8ff168b4db9a,Family - first level,9,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
8b8d9716-7635-48b3-ad79-25f8dfee94eb,6402defd-144b-45fb-a5cc-8ff168b4db9a,Mentor/Mentee,8,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
afdaa779-7acf-4ab2-9f70-9acaab767b1a,bab4920a-9bdc-41c8-90fe-924015961032,Co-author,7,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
eeaf82e5-7d1f-4cee-b919-dd39f529c42a,bab4920a-9bdc-41c8-90fe-924015961032,Collaborated with,8,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
e215ac32-7add-4115-a8c9-b9f6d5a3abf3,919194b4-960f-49e0-8e93-95b5683d9c0b,Collaborated with,8,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19
6522c11f-1206-4ee3-827e-1e0484aa132c,a0bb9600-8861-41ed-a92b-c5e83d88e1ab,Co-worker/Colleague,6,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19
3adf7f85-695e-4ad1-ad9f-d4189829e16f,a0bb9600-8861-41ed-a92b-c5e83d88e1ab,Advisor/Advisee,7,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19
28b1a9f3-fa88-4856-83e5-08e32984df79,a0bb9600-8861-41ed-a92b-c5e83d88e1ab,Advisor/Advisee,7,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19
9c1eef1a-cb8e-45b0-b418-c57f0240b7e5,784976b4-a654-4f49-8337-4c8d4115eb10,Co-worker/Colleague,6,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
a6003879-edaa-4a4e-a79a-d8e478a6aec0,784976b4-a654-4f49-8337-4c8d4115eb10,Fellow Alumni,3,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
cbf5fb99-7c6d-49b3-bcc7-08b025dfa0d1,784976b4-a654-4f49-8337-4c8d4115eb10,Reported to,9,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19
211d1bb7-9ca0-4b9d-bf17-4e2223fc2cb5,67a6f86b-f086-4eb4-a2f1-924bb39c8401,Advisor/Advisee,7,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19
0178e78b-ca2b-4c1d-8478-c54d654da361,67a6f86b-f086-4eb4-a2f1-924bb39c8401,Fellow Speaker,3,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19
c70a5850-749e-4aec-81b3-b3ecbfb9e920,67a6f86b-f086-4eb4-a2f1-924bb39c8401,Fellow Speaker,3,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
b1051b45-ff02-408f-bb8c-92b6611f659d,a77c6909-50e7-4309-bfd6-103f5b5e7fd0,Family - first level,9,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
a17ef7bc-5a00-4c01-be28-613b90a5e81d,a77c6909-50e7-4309-bfd6-103f5b5e7fd0,Fellow Board Member,8,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
6f787969-9846-4090-85e3-9951c3ae4e34,a77c6909-50e7-4309-bfd6-103f5b5e7fd0,Co-author,7,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19
e6026991-342a-4a96-8aa2-18f1088190d1,ab21b441-6a1f-4c12-b96c-1601d6774fc2,Fellow Board Member,8,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19
82fac26d-2be3-4624-842f-73b74c7f6d98,ab21b441-6a1f-4c12-b96c-1601d6774fc2,Student/teacher,8,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
8704d5c9-45c8-4c26-bb80-d27b816690de,bd0fa4bd-f1fb-47a4-ba95-a5c46309e613,Fellow Committee Member,5,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19
404da108-b23e-49d4-b688-ef6cd27efdb1,bd0fa4bd-f1fb-47a4-ba95-a5c46309e613,Reported to,9,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19
045eb9b0-29b3-4ba5-988a-6b04237c9875,bd0fa4bd-f1fb-47a4-ba95-a5c46309e613,Fellow Alumni,3,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
9f2df0b4-dce0-46e8-b77b-96403206cac6,5087d838-7069-4676-80de-9914fee3eb7f,Co-worker/Colleague,6,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19
0f2f6fd3-e4c0-4fab-baf3-2ea6f019c464,5087d838-7069-4676-80de-9914fee3eb7f,Reported to,9,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19
d527f42c-6f5a-48fd-b4a5-61a4d5da2471,5087d838-7069-4676-80de-9914fee3eb7f,Fellow Alumni,3,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
02ab02f6-2bac-4a0d-bdc2-f84b166e3154,d8ae0379-4d80-45dd-ab48-24821b0a24ec,Mentor/Mentee,8,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
d20c27bd-bd15-47d8-9cdb-669d2d5b8cbd,d8ae0379-4d80-45dd-ab48-24821b0a24ec,Co-worker/Colleague,6,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
79ce593e-4858-4ec1-b3c9-05661e25d4eb,d8ae0379-4d80-45dd-ab48-24821b0a24ec,Family - extended,5,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
048326c0-b939-471c-9a6f-f80369497a2b,d8ae0379-4d80-45dd-ab48-24821b0a24ec,Family - first level,9,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19
1e6b210c-03f1-4d7d-9689-4ad4ae658f41,ab8efba9-e14f-47af-aee3-9c033bd5f70e,Fellow Alumni,3,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19
dc6a8330-abbc-4924-ab6c-1d417e9038fd,ab8efba9-e14f-47af-aee3-9c033bd5f70e,Co-founder,9,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19
c58bfeed-2f46-419f-865e-7fbf8d44525a,ab8efba9-e14f-47af-aee3-9c033bd5f70e,Student/teacher,8,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19
2fa75d45-d967-443b-8671-15d8d6d1b658,ab8efba9-e14f-47af-aee3-9c033bd5f70e,Reported to,9,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19
700024fc-f148-4200-8b14-d80fef2701f6,6de69601-efe5-48d8-bb80-ed5bd67d90d0,Student/teacher,8,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
461b829a-5f6d-4b51-bbd4-2f2cd68ff9a7,6de69601-efe5-48d8-bb80-ed5bd67d90d0,Family - extended,5,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19
7628f5d1-ef0b-4b75-a7bd-dec5ae88850d,6de69601-efe5-48d8-bb80-ed5bd67d90d0,Co-founder,9,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
a499369c-600f-4c95-8c4f-15b27de0781d,6de69601-efe5-48d8-bb80-ed5bd67d90d0,Fellow Speaker,3,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19
