id,donor_id,influencer_id,relationship_type,relationship_weight,interest_category,created_at,last_interaction_date,is_active
03d8f334-5960-436d-a674-b635c1b34082,1457ac4a-c875-4110-8f6d-fc0f14d78473,49032342-3eaf-4285-bf1e-69a4aeb4322a,Friends with,6,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
0417f21c-cf84-4090-bc4f-f22bde7ed268,9c1eef1a-cb8e-45b0-b418-c57f0240b7e5,784976b4-a654-4f49-8337-4c8d4115eb10,Co-worker/Colleague,6,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
0533abb5-2b54-45ea-8062-b0f50e1852fb,4b1ece72-bae2-4eb6-bf97-44a82181ea1b,826b176c-4bff-4cea-a78a-eeceb8347257,Co-author,7,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
0554ca1a-8477-4f3c-b92d-6344bafbba66,79d0c8a5-cccb-4e2b-9b7f-5c1754b5a664,4406f8c8-b5a1-475d-a01d-eff07eefcede,Collaborated with,8,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
06b83a60-821d-4cf3-9b7c-b72e6d19ca18,0213e574-1095-49cc-9c3d-388db5cce7f9,c2929836-84e2-4733-8c65-1035d01c588a,Advisor/Advisee,7,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
074fda16-a361-41f9-9baa-68a7cfebe8aa,e58910f5-4b38-475b-b689-ae7b3bab459f,0496be7b-16fc-4c98-b744-4158eab6da46,Reported to,9,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
0760aa3d-a7af-4723-b435-967b568ecd2c,a4377ce2-d3f7-4f95-85a0-ba47640ce0e6,a1324167-56ea-41a4-9a19-053bdb057d12,Family - extended,5,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
07679df4-3da9-4181-82b0-5319d6a9e993,df230bf4-dc6c-46e4-a62d-e895e3a1da6d,29c2749a-66d4-4d16-9961-cdb8bb8fcb6e,Co-founder,9,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
0788bb7e-2716-437d-9cf9-610d15f0cdc3,d5a1fc01-bce8-45a1-8854-506d52f03035,c36f0ef4-9639-4852-a94b-849c94e30893,Fellow Committee Member,5,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
07b76031-7d6d-4de8-9310-e46d6b3acdc8,13bcb143-f1e9-4495-aefe-6f998dd031e4,42078308-3e2e-4291-8f20-f8816b41fbdb,Family - first level,9,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
07b9f48f-2b52-4bc6-b92c-d95fa050dee7,95224d92-d76d-4031-a2dd-e931114cec2e,ef3f7d85-b2db-4966-9582-4acc95f72719,Collaborated with,8,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
081aba7d-3ac9-405e-8747-8c99da7ec6f0,6606d037-6e8a-4f31-9aa3-15420358c0a6,177d7144-f619-4b7f-a4ee-0ba709093065,Advisor/Advisee,7,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
09bcaaa2-4f87-4407-ae4e-29181658d64c,32de2a7c-66c9-499b-a9ff-67f6b22fde69,5f8a6ea4-f0a2-4b98-bbbc-3503bb1d120f,Fellow Committee Member,5,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
09dde6e8-aa8c-4264-b800-46c68d452d96,524f2e0b-2bf3-4f93-9d7b-c8084b317610,de8b37f5-5829-444d-9f3f-53a893f1481f,Co-founder,9,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
09f89ffd-73de-41e7-a84f-7f7b845ed600,52902dfb-c5a6-4a76-8260-4fe657d2fbda,16e43025-10f1-42e6-9793-e0e2f333d79c,Fellow Speaker,3,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
0b1c5341-7bff-41f6-a3bb-79ad4b494c3d,17efca01-b251-4116-af78-e8b0f105c5d6,55127d3c-0e51-4a93-aabc-6efe62d285d8,Reported to,9,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
0b6bdee3-3883-4993-b109-184dc79ff286,5e360f2c-7b62-4891-b23a-7ca2a1cfceff,6994e448-67f5-4eae-8eaf-ad58dc3400d5,Mentor/Mentee,8,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
0c07687d-aae6-43e4-9af3-d7fe2e5cfdd7,d5b4b31e-1a99-4af4-abd5-7303d9917246,4dd1701c-060e-446c-815d-bb496dbac2cf,Fellow Alumni,3,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
0ca6ab63-b9e9-4d20-a9e6-3670fcf92542,404da108-b23e-49d4-b688-ef6cd27efdb1,bd0fa4bd-f1fb-47a4-ba95-a5c46309e613,Reported to,9,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
0d14ec96-8911-4dab-a022-e754dc58539d,85b7760a-80b1-413d-a55b-54425c9a47e1,805c1ee8-d582-4aff-af64-35e837af444d,Co-author,7,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
0d71727b-2ff7-475d-876e-791c7f1166b2,fb898339-208e-486c-aa32-5974b47b3f6e,8e5db93d-c20d-4a44-b7fb-f88f99349202,Co-worker/Colleague,6,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
0da11721-9ed6-4855-8707-91fa5587d3d4,3b4b90a9-6c32-4336-a943-131527569ef5,a58bd549-cf1b-44b5-afc1-81d961be3177,Fellow Speaker,3,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
0dccf9c9-9a07-4ef9-9cb8-932208e0f4c5,87007af7-2a80-4969-9104-451cd543e2b1,fe6a80eb-7747-41f2-9494-461250dfa1f0,Friends with,6,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
0f36f3df-656d-4e8a-9054-4ef8ded18064,11cfd38d-41bb-4c28-ab9a-01de42032155,8a3b698c-2952-4b72-ad0f-49e7b72a3d95,Fellow Alumni,3,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
0f60448d-1825-441a-9b8e-5b6c4c20b4f9,42b9a85e-17a1-480a-9821-6ab8f0d9ee99,e59b3347-c2d5-4419-a24a-ebd2344e68df,Co-worker/Colleague,6,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
0faae4da-3dd9-474f-b4a3-35b7579271a6,a21eb0d3-a335-424b-921d-923691545039,fc2976d6-4ed8-4f3c-973f-ca00b2794b52,Family - extended,5,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
100f016e-f2c7-4e3a-b358-9344117ceed0,98fda998-a572-4252-9338-e6cc5108d6c6,d0a73205-fd69-4997-8000-3e901219b4f2,Family - extended,5,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
1066859c-f290-4d9c-9d6a-895b3794e62b,e6047c44-ae02-4005-b197-3bc46e03d15c,2df1fde1-8e0b-40d7-911a-5f2703edbd07,Fellow Speaker,3,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
107ca182-84b2-425f-b774-15028e55a0bc,af047bc6-7be7-41d0-a147-e2c9d453229c,4406f8c8-b5a1-475d-a01d-eff07eefcede,Family - first level,9,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
10a8888f-e4b6-4920-84bc-cafd9a99b922,3adf7f85-695e-4ad1-ad9f-d4189829e16f,a0bb9600-8861-41ed-a92b-c5e83d88e1ab,Advisor/Advisee,7,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
10e04834-fb9a-453a-9555-3b4ada258a1f,93a0a9ef-70d6-43b8-bd43-15d1e06ab8ae,ca743936-b8a9-4592-a351-b1b7c6578ac6,Advisor/Advisee,7,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
10fe0b32-1546-4ab5-b41e-e9d4587f4938,0eee9534-51d0-4ca3-af3c-50a8c90586ca,d4984361-7bae-4c1c-aa08-e32a4a3003d6,Reported to,9,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
1127f682-4ef0-469f-afcd-11bc1a439c74,69bb3e09-4f84-44a3-94f0-4c64ebd8e70f,498e29e4-8ff9-455e-9d07-cafab0c11403,Friends with,6,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
1202a91d-07d5-4c4c-98ce-9ed04b7758ea,3c6d6df4-fd43-41f7-a2c1-ce517a65cb3b,e4cd9cf3-b717-4fcb-9390-172fbffc2ab1,Friends with,6,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
131c55d4-5065-48cf-a914-621bcfff4b46,d64fdfe8-4c8a-47eb-9c94-c78593abe450,55127d3c-0e51-4a93-aabc-6efe62d285d8,Co-author,7,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
1350a939-82c8-4d75-ae68-79e6241f03a9,a310ee6a-1f7a-4d8a-b2bc-e266c9e14e7e,27ca132e-76a8-4dc5-ace2-31ed889c0dfb,Reported to,9,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
14077033-8bbd-4b8f-8ea3-f8445fab5002,57d12c08-e268-4923-a4d0-34d5939a18e0,8858b229-f760-4d8a-9eb4-7ebe943d5a48,Fellow Alumni,3,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
142194f2-3b57-4a69-b816-c0c807631d1c,ba7dc998-391b-42ef-87e8-e7baa4aaa22a,fea77886-b50b-438e-b24a-8be62172d203,Advisor/Advisee,7,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
149d7cfe-1200-4ff4-a7d6-f7bc891b4595,210c134c-b1d6-4987-89a1-8bc60511a383,a58bd549-cf1b-44b5-afc1-81d961be3177,Fellow Committee Member,5,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
14ff84d3-2f8c-4f15-a2f4-cb245de5c533,4eaf318a-2cc3-4035-97ef-5fc2dd10d5d3,2af29d54-cb95-484d-a9ed-328441274a6c,Advisor/Advisee,7,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
1570e7c0-5961-44a0-bb33-6a8117c384f0,1457ac4a-c875-4110-8f6d-fc0f14d78473,d0a73205-fd69-4997-8000-3e901219b4f2,Reported to,9,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
15ba0e5a-e798-440c-858a-430c87ad1309,d208a03f-b78c-495c-a604-35cc3068cc53,3b024fb9-9c8b-47fb-b2bf-b0b21071c8b2,Co-founder,9,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
16c6d31f-7fda-4639-8242-52eee829682e,4b0be842-63b2-415b-8762-9407c5bc44ce,f70b88bf-14ab-4d03-968a-4461fa37fd0e,Co-founder,9,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
1773556e-3e9f-437b-a7f4-66f93fede062,1d9bf402-6cff-43ad-86a5-e9df913d4f74,405975b3-353c-48f0-aa5e-78c05664b514,Student/teacher,8,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
17d7e0dd-6c56-40cc-afc1-b153229f3a79,7628f5d1-ef0b-4b75-a7bd-dec5ae88850d,91ea5d72-1d40-45c6-a4cb-892ed1484ebe,Mentor/Mentee,8,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
1a3df521-13cc-49a6-9591-ddf69d481c89,68ece8ca-4d44-462c-ad1e-489b9b983d08,78e7527f-d85a-4433-87e1-59448d3f1c44,Advisor/Advisee,7,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
1b7e9579-6903-4bb0-94aa-61dfe2b11582,61bf640d-ef78-49cc-bb4f-c9d045902a58,4ce63fb4-0066-4789-882c-cca3a4c6cfbc,Fellow Board Member,8,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
1d1752d3-25c7-48f5-a3bc-207681516067,fad2e532-2541-452e-b5f1-83c43ccad175,69cc3dfc-35ac-41bd-9cde-c9eb3f27d8a6,Fellow Committee Member,5,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
1d389b29-401f-4220-b05a-54f7fce909a0,09f6f90b-e8c9-4f8c-81e8-bec7f1f010e7,84d8063b-ebde-43ad-a92e-9d1bde15ab93,Fellow Committee Member,5,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
1d52bac2-7aaa-4fb0-aeb8-eede6a4ed1e2,e27c5da5-556b-4c6b-a52c-5996a66dcdd0,98c0224f-b76a-4518-ae4a-fdaf2a641dad,Mentor/Mentee,8,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
1d5b3b54-3c6e-4bdf-b98c-352062b13275,2852573c-f4bc-4907-8202-b5be8a0ccedc,3a9f0539-da30-4630-8247-b158b442c57f,Friends with,6,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
1ee6d188-3f56-4b93-89f5-cd0d6e56336b,c6fd010e-42bf-4835-9651-d52379fc9ffe,8fa7df59-5f98-4cb4-8552-5f7ec3c70f13,Family - first level,9,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
1ee78aa1-a6bd-4d38-8f7a-fdae9fe5bc59,2d07d31a-e76b-40c7-8aac-69d0f66b5312,c382a45a-acd9-497d-bfe5-1d12336590c8,Family - first level,9,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
1fd9af06-1ced-4a12-b89a-0c070e413cc2,f7cc4e1d-4b37-468d-aebe-e96507630ecb,9d1a3c93-dfae-4123-b989-8c3ac0e3ecc3,Reported to,9,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
213ae2cb-5bb3-4e62-a27a-51e276c9fcdb,8a2c1ea1-5ed2-4584-8949-409e4f6c61f5,69cc3dfc-35ac-41bd-9cde-c9eb3f27d8a6,Fellow Board Member,8,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
21b0b5e0-86c7-4de2-a55d-08fd4fcabf23,7a34d9e3-cd63-4987-951e-a903a25a25c3,a5576e2e-c773-4037-acc7-f1331577a7a5,Business Partner,9,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
22200696-063c-4f1a-b684-6a96af1dec54,d20c27bd-bd15-47d8-9cdb-669d2d5b8cbd,d8ae0379-4d80-45dd-ab48-24821b0a24ec,Co-worker/Colleague,6,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
223e699d-2bc9-4cbd-b086-27001c3b53b8,ca0b39d8-bd83-41a0-bf9c-c83600f25c04,16c300e7-5b18-4759-b3a6-e9cd6fc6c7ed,Fellow Committee Member,5,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
227fd856-6685-4afc-a112-47f3bda86904,376052f6-ff79-4123-b74e-209234a0b213,11c7509f-1571-4298-af6f-c1bc99c68ee9,Mentor/Mentee,8,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
22877162-ea14-41da-9d87-cde5d02f8953,30f6c0e7-913b-4e0f-9330-408e30e46a0f,20cca08e-6c35-4eb8-a7e5-913a7219df31,Family - first level,9,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
22aafc9b-d9e2-4602-9ac8-deab15f3a0c8,dc65e0ca-6293-4ce4-b0b7-61d22044d376,4a6f5289-8477-491c-beec-92c5c1b5c79d,Family - extended,5,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
22e25567-9695-468c-a7a2-74f4c4274616,65885ed0-ea50-4ad4-95e6-3240fd6625e6,c710a691-e490-4ec0-acfd-6cd9d64147b7,Family - first level,9,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
231f319d-9982-4660-8e31-fe1fa96d85bf,ebfb385e-e09c-4872-9d31-7da72e3ca9f2,31ef152b-e2b7-4c0d-b244-34f0d2ab2c7c,Co-founder,9,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
23da6e54-2784-4bc5-bec3-24e68047b9a0,a6003879-edaa-4a4e-a79a-d8e478a6aec0,784976b4-a654-4f49-8337-4c8d4115eb10,Fellow Alumni,3,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
23db8f9a-64e4-471d-bd0a-19ec787e46db,700024fc-f148-4200-8b14-d80fef2701f6,6de69601-efe5-48d8-bb80-ed5bd67d90d0,Student/teacher,8,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
23def0b0-39d9-4ce2-be60-6ac57d58b2e4,518a0c42-1771-42d5-81a2-df1c8691bd6b,2df1fde1-8e0b-40d7-911a-5f2703edbd07,Mentor/Mentee,8,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
244d0157-d6e4-4ffb-957c-717de12bdcee,ffa95ec2-5546-4bef-b196-cb9cd63820c7,c382a45a-acd9-497d-bfe5-1d12336590c8,Co-author,7,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
24cd7af5-4f75-4571-aee3-3add062163d9,5bffdb65-9ad8-4439-b35c-f9ededfcac60,dc6a8330-abbc-4924-ab6c-1d417e9038fd,Business Partner,9,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
24e02169-516b-4cf1-ac08-4ca16df51f3c,93792167-a15f-4674-ad0d-383ec3e2e196,ec7c6f18-5e97-4fb1-baa9-fec7bbfb696f,Friends with,6,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
24e3f17e-93c9-4aba-ab78-440589308b41,f25f18f1-a5c7-427c-8702-32177dca8682,b267e252-bc36-4817-ac07-e1f07ce173d4,Advisor/Advisee,7,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
251e0861-3c23-4bc4-bf45-677c0e568e14,1df81b8d-32ee-4c9c-9120-2c842688ff43,4f3bfcce-c376-4bcb-a8d2-be5c1f7742d7,Fellow Speaker,3,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
258544ea-e04f-40f0-91f3-9c25b7803cdc,82da3585-1817-4a13-a54d-fe4f471f2a49,20cca08e-6c35-4eb8-a7e5-913a7219df31,Fellow Speaker,3,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
25e3dee3-11eb-4c13-bb08-407dcde0308b,d527f42c-6f5a-48fd-b4a5-61a4d5da2471,5087d838-7069-4676-80de-9914fee3eb7f,Fellow Alumni,3,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
26452995-ef0a-4fee-bd3e-f061de7fea28,d22e37f4-f7e6-4fdb-94a4-43662f53b188,f06a84ef-14a5-498b-8981-64c372698332,Co-author,7,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
264ccab5-4130-49d2-9a20-34f7ae6fa12d,be0d7c38-de79-41da-9608-1da42edb5943,95ac62dc-dd42-4669-bd4e-fd05366dbdcb,Fellow Board Member,8,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
264ec954-f28c-4666-aace-5d4b265f3a49,24897e18-6ec4-475d-8193-38d46577b2a5,f4686e78-cc16-4208-b09d-a41524ece694,Co-worker/Colleague,6,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
27448246-188d-47ac-b590-0c769a64cc99,abbbe018-e0c7-4ec0-8596-7e9a0ae0b293,a520edfa-365f-4585-b36f-833d96fdc345,Collaborated with,8,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
28091cc7-9dd7-4168-a645-326890f26be6,83001ffc-8384-426a-bbd0-0a70d63e2bba,37ada321-4743-473d-9885-ea8ee205fa0d,Family - first level,9,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
289221fb-e76c-401e-896f-a62c4b9a1c40,31f96637-9136-4932-ab57-8bc686e7b327,4037c715-6506-4bde-91c8-d85fd5dd6093,Fellow Speaker,3,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
28a69cbe-3f05-4494-9117-47829e58e64a,51bc23c5-e2f2-45ee-8541-33023c9c6b93,032be5bb-852d-4ace-a3b4-ec7e72c75126,Family - first level,9,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
28d9914f-c78f-442c-bec7-d052f086c18d,f4fae78e-c1da-45eb-9dbb-b82747ab2ed2,3292cb01-0f37-45fa-87c5-c4077a323754,Fellow Committee Member,5,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
291ab935-cda1-423c-a30a-5e5b660c1316,8057511f-90a8-435a-bd6f-71ca429a1396,30f6c0e7-913b-4e0f-9330-408e30e46a0f,Fellow Committee Member,5,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
293148d8-3ce3-4cef-adcc-09ee87e0314a,cc69a3b5-489a-49de-9a36-1d9d8eeb3a71,6402defd-144b-45fb-a5cc-8ff168b4db9a,Co-worker/Colleague,6,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
293a5f48-e458-4098-8174-8734a63a1c1e,9f36f66d-dad0-4f0c-bc47-646917720a2d,a1324167-56ea-41a4-9a19-053bdb057d12,Collaborated with,8,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
